Tous	HP:0000001#
Problème de la fonction rénale	HP:0012211#
Taux de filtration glomérulaire anormal	HP:0012212#
Diminution du débit de filtration glomérulaire	HP:0012213#
Diminution de la clairance de la créatinine	HP:0012213#
Clairance rénale de la créatinine altérée	HP:0012213#
Augmentation du taux de filtration glomérulaire	HP:0012214#
Microlithiase testiculaire	HP:0012215#
Neuropathie de piégeage du nerf suprascapulaire	HP:0012216#
Piégeage du nerf suprascapulaire	HP:0012216#
Augmentation du porphobilinogène urinaire	HP:0012217#
Sarcome alvéolaire des parties molles	HP:0012218#
Érythème noueux	HP:0012219#
Granulomatose à cellules épithélioïdes non caséeuses	HP:0012220#
Cloque prétibiale	HP:0012221#
Epidermolyse bulleuse prétibiale	HP:0012221#
Hémangiomatose arachnoïdienne	HP:0012222#
Rupture splénique	HP:0012223#
Rupture de la rate	HP:0012223#
Complexes immuns circulants	HP:0012224#
Oligodontie des dents primaires	HP:0012225#
Diminution du nombre de dents de lait	HP:0012225#
Diminution du nombre de dents primaires	HP:0012225#
Anodontie partielle des dents de lait	HP:0012225#
Nombre de dents de lait inférieur à la normale	HP:0012225#
Anodontie partielle des dents primaires	HP:0012225#
Moins de dents primaires que la normale	HP:0012225#
Manque de quelques dents de lait	HP:0012225#
Manque de quelques dents primaires	HP:0012225#
Manque quelques dents de lait	HP:0012225#
Moins de dents de lait que la normale	HP:0012225#
Défaut de développement de certaines dents de lait	HP:0012225#
Défaut de développement de certaines dents primaires	HP:0012225#
Tératome ovarien	HP:0012226#
Rétrécissement de l'urètre	HP:0012227#
Céphalée de type tension	HP:0012228#
Pléocytose du LCR	HP:0012229#
Pléocytose du liquide céphalo-rachidien	HP:0012229#
Décollement de rétine rhégmatogène	HP:0012230#
Décollement de rétine exsudatif	HP:0012231#
Décollement séreux de la rétine	HP:0012231#
Raccourcissement de l'intervalle QT	HP:0012232#
Hématome intramusculaire	HP:0012233#
Hémorragie intramusculaire	HP:0012233#
Hématomes intramusculaires	HP:0012233#
Agranulocytose	HP:0012234#
Agranulocytose d'origine médicamenteuse	HP:0012235#
Chlorure de sueur élevé	HP:0012236#
Acidurie urocanique	HP:0012237#
Taux élevé d'acide urocanique dans l'urine	HP:0012237#
Augmentation du taux de chylomicrons circulants	HP:0012238#
Augmentation des chylomicrons	HP:0012238#
Hyperchylomicronémie	HP:0012238#
Atransferrinémie	HP:0012239#
Augmentation des gouttelettes lipidiques intramyocellulaires	HP:0012240#
Augmentation des gouttelettes lipidiques musculaires	HP:0012240#
Atrophie du Levator palpebrae superioris	HP:0012241#
Atrophie du muscle droit supérieur	HP:0012242#
Morphologie anormale de l'appareil reproducteur	HP:0012243#
Morphologie anormale de l'appareil génital	HP:0012243#
Détermination anormale du sexe	HP:0012244#
Inversion du sexe	HP:0012245#
Paralysie du nerf oculomoteur	HP:0012246#
Neuropathie oculomotrice	HP:0012246#
Anosmie spécifique	HP:0012247#
Intervalle PR prolongé	HP:0012248#
Intervalle PR allongé sur ECG	HP:0012248#
Intervalle PR allongé à l'électrocardiogramme	HP:0012248#
Segment ST anormal	HP:0012249#
Dépression du segment ST	HP:0012250#
Surélévation du segment ST	HP:0012251#
Morphologie anormale du système respiratoire	HP:0012252#
Morphologie anormale de l'épithélium respiratoire	HP:0012253#
Sarcome d'Ewing	HP:0012254#
Défaut des bras de dynéine des cils mobiles respiratoires	HP:0012255#
Absence des bras externes de la dynéine	HP:0012256#
Absence de bras de dynéine internes	HP:0012257#
Organisation axonémique anormale des cils mobiles respiratoires	HP:0012258#
Absence de bras de dynéine internes et externes	HP:0012259#
Morphologie anormale de la paire microtubulaire centrale des cils mobiles respiratoires	HP:0012260#
Physiologie anormale des cils mobiles respiratoires	HP:0012261#
Motilité ciliaire anormale	HP:0012262#
Cils immotiques	HP:0012263#
Absence de la morphologie de la paire microtubulaire centrale des cils mobiles respiratoires	HP:0012264#
Dyskinésie ciliaire	HP:0012265#
Alternance d'ondes T	HP:0012266#
Absence de rayons radiaux de l'axoneme ciliaire respiratoire	HP:0012267#
Liposarcome myxoïde	HP:0012268#
Contenu anormal en glycogène musculaire	HP:0012269#
Diminution du contenu en glycogène des muscles	HP:0012270#
Obstruction épisodique des voies aériennes supérieures	HP:0012271#
Onde J	HP:0012272#
Ondes d'Osborne	HP:0012272#
Ondes J de l'ECG	HP:0012272#
Augmentation de l'épaisseur médiane de l'intima de l'artère carotide	HP:0012273#
Héritage autosomique dominant avec empreinte paternelle	HP:0012274#
Hérédité autosomique dominante avec empreinte maternelle	HP:0012275#
Ténosynovite des fléchisseurs digitaux	HP:0012276#
Doigt de gâchette	HP:0012276#
Hypoglycémie	HP:0012277#
Faible taux de glycine dans le sang	HP:0012277#
Anomalie du métabolisme de la sérine	HP:0012278#
Hyposérinémie	HP:0012279#
Faible taux de sérine dans le sang	HP:0012279#
Amyloïdose hépatique	HP:0012280#
Ascite chyleuse	HP:0012281#
Chyloperitoine	HP:0012281#
Éruption morbilliforme	HP:0012282#
Petite épiphyse fémorale distale	HP:0012283#
Petite partie terminale de la partie externe du fémur	HP:0012283#
Petites épiphyses tibiales proximales	HP:0012284#
Petite partie terminale du tibia le plus interne	HP:0012284#
Physiologie anormale de l'hypothalamus	HP:0012285#
Morphologie anormale de l'hypothalamus	HP:0012286#
Forme anormale de l'hypothalamus	HP:0012286#
Anomalie de la morphologie de l'hypothalamus	HP:0012286#
Anomalie de l'hypothalamus	HP:0012286#
Déficience de l'hormone lutéinisante hypothalamique	HP:0012287#
Tumeur de la tête et du cou	HP:0012288#
Cancer de la tête et du cou	HP:0012288#
Néoplasme du visage	HP:0012289#
Tumeur du visage	HP:0012289#
Tumeur de la bouche	HP:0012290#
Tumeur buccale	HP:0012290#
obsolète Néoplasme trachéal	HP:0012291#
Fusion des gencives	HP:0012292#
Fusion partielle des gencives	HP:0012292#
Fusion de la gencive	HP:0012292#
Synéchie gingivale	HP:0012292#
Soudure des gencives supérieure et inférieure	HP:0012292#
Synéchies des gencives	HP:0012292#
Pigmentation anormale des organes génitaux	HP:0012293#
Anomalie de l'os occipital	HP:0012294#
Phalange moyenne élancée du doigt	HP:0012295#
Os moyen élancé du doigt	HP:0012295#
Phalange distale élancée du doigt	HP:0012296#
Os externe élancé du doigt	HP:0012296#
Phalange proximale élancée du doigt	HP:0012297#
Os mince le plus interne du doigt	HP:0012297#
Longue phalange moyenne du doigt	HP:0012298#
Os long et moyen du doigt	HP:0012298#
Longue phalange distale du doigt	HP:0012299#
Os long externe du doigt	HP:0012299#
Agénésie de l'uretère	HP:0012300#
Profil de l'isoforme de la transferrine de type II	HP:0012301#
Profil isoforme de la transferrine de type 2	HP:0012301#
Focalisation isoélectrique de la transferrine sérique compatible avec un CDG de type II	HP:0012301#
Focalisation isoélectrique anormale de la transferrine sérique, profil isoforme de type 2	HP:0012301#
Focalisation isoélectrique anormale de la transferrine sérique, modèle de type II	HP:0012301#
Encéphalite à Herpes simplex	HP:0012302#
Anomalie de la morphologie de l'arc aortique	HP:0012303#
Anomalie de l'arc aortique	HP:0012303#
Arc aortique hypoplasique	HP:0012304#
Arc aortique sous-développé	HP:0012304#
Hypoplasie de l'arc aortique	HP:0012304#
Coarctation de la voûte aortique descendante	HP:0012305#
Ossification anormale des côtes	HP:0012306#
Maturation anormale des os des côtes	HP:0012306#
Côtes spatulées	HP:0012307#
Diminution du complément sérique C9	HP:0012308#
Diminution du sérum C9	HP:0012308#
Amyloïdose cutanée	HP:0012309#
Nombre anormal de monocytes	HP:0012310#
Monocytose	HP:0012311#
Nombre élevé de monocytes dans le sang	HP:0012311#
Monocytopénie	HP:0012312#
Faible nombre de monocytes dans le sang	HP:0012312#
Nœud d'Heberden	HP:0012313#
Ganglion de Bouchard	HP:0012314#
Histiocytome	HP:0012315#
Tumeur du tissu fibreux	HP:0012316#
Arthrite sacro-iliaque	HP:0012317#
Sacroiliite	HP:0012317#
Névralgie occipitale	HP:0012318#
Pigmentation absente de l'abdomen	HP:0012319#
Pigmentation absente des membres	HP:0012320#
Acidurie D-2-hydroxyglutarique	HP:0012321#
Perifolliculite	HP:0012322#
Inflammation périfolliculaire	HP:0012322#
Myoclonie du sommeil	HP:0012323#
Leucémie myéloïde	HP:0012324#
Leucémie myélomonocytaire chronique	HP:0012325#
Anomalie de la morphologie de l'artère cœliaque	HP:0012326#
Anomalie de l'artère cœliaque	HP:0012326#
Compression de l'artère cœliaque	HP:0012327#
Syndrome du ligament arqué médian	HP:0012327#
Syndrome de Dunbar	HP:0012327#
Syndrome de l'axe cœliaque	HP:0012327#
Cémentome	HP:0012328#
Angiome en touffe	HP:0012329#
Hémangiome capillaire progressif	HP:0012329#
Hémangiome hypertrophique	HP:0012329#
Angioblastome	HP:0012329#
Hémangiome en touffe	HP:0012329#
Angioblastome de Nakagawa	HP:0012329#
Pyélonéphrite	HP:0012330#
Morphologie anormale du système nerveux autonome	HP:0012331#
Anomalie de la physiologie du système nerveux autonome	HP:0012332#
Anomalie de la régulation sudomotrice	HP:0012333#
Dysfonctionnement sympathique sudomoteur	HP:0012333#
Cholestase extrahépatique	HP:0012334#
Anomalie du métabolisme des folates	HP:0012335#
Concentration réduite de 5-méthyltétrahydrofolate dans le liquide céphalorachidien	HP:0012336#
Concentration réduite de 5-méthyltétrahydrofolate dans le LCR	HP:0012336#
Homéostasie anormale	HP:0012337#
Dépense énergétique anormale	HP:0012338#
Augmentation de la dépense énergétique au repos	HP:0012339#
Diminution de la dépense énergétique au repos	HP:0012340#
Microprolactinome	HP:0012341#
Macroprolactinome	HP:0012342#
Diminution de la ferritine sérique	HP:0012343#
Diminution du taux de ferritine sérique	HP:0012343#
Faible taux de ferritine	HP:0012343#
Ferritine sérique réduite	HP:0012343#
Morphée	HP:0012344#
Glycosylation anormale	HP:0012345#
Glycosylation anormale des protéines	HP:0012346#
Glycosylation anormale des protéines N-liées	HP:0012347#
Diminution de la galactosylation de la glycosylation des protéines N-liées	HP:0012348#
Sialylation anormale de la glycosylation des protéines N-liées	HP:0012349#
Diminution de la sialylation de la glycosylation des protéines N-liées	HP:0012350#
Augmentation de la sialylation de la glycosylation des protéines N-liées	HP:0012351#
Fucosylation anormale de la glycosylation des protéines N-liées	HP:0012352#
Fucosylation diminuée de la glycosylation des protéines N-liées	HP:0012353#
Augmentation de la fucosylation de la glycosylation des protéines N-liées	HP:0012354#
Mannosylation anormale de la glycosylation des protéines N-liées	HP:0012355#
Diminution de la mannosylation de la glycosylation des protéines N-liées	HP:0012356#
Augmentation de la mannosylation de la glycosylation des protéines N-liées	HP:0012357#
Glycosylation anormale des protéines O-liées	HP:0012358#
Fucosylation anormale de la glycosylation des protéines O-liées	HP:0012359#
Diminution de la fucosylation de la glycosylation des protéines O-liées	HP:0012360#
Augmentation de la fucosylation de la glycosylation des protéines O-liées	HP:0012361#
Sialylation anormale de la glycosylation des protéines O-liées	HP:0012362#
Diminution de la sialylation de la glycosylation des protéines O-liées	HP:0012363#
Diminution du potassium urinaire	HP:0012364#
Faible taux de potassium urinaire	HP:0012364#
Hypokalurie	HP:0012364#
Hypophosphaturie	HP:0012365#
Faible taux de phosphate urinaire	HP:0012365#
Invagination basilaire	HP:0012366#
Fontanelles supplémentaires	HP:0012367#
Visage plat	HP:0012368#
Profil plat du visage	HP:0012368#
Forme plate du visage	HP:0012368#
Anomalie des os malaires	HP:0012369#
Malformation des os malaires	HP:0012369#
Déformation des os malaires	HP:0012369#
Anomalie du malaire	HP:0012369#
Proéminence de l'os zygomatique	HP:0012370#
Excès de pommette	HP:0012370#
Hypertrophie zygomatique	HP:0012370#
Excès de l'os zygomatique	HP:0012370#
Hyperplasie de la pommette	HP:0012370#
Pommette prononcée	HP:0012370#
Hyperplasie de l'os zygomatique	HP:0012370#
Hypertrophie malaire	HP:0012370#
Pommette saillante	HP:0012370#
Hyperplasie de la face moyenne	HP:0012371#
Hyperplasie de la face médiane	HP:0012371#
Proéminence médiofaciale	HP:0012371#
Grande face moyenne	HP:0012371#
Excroissance de la face moyenne	HP:0012371#
Excès médiofacial	HP:0012371#
Hypertrophie de la face moyenne	HP:0012371#
Morphologie anormale des yeux	HP:0012372#
Morphologie anormale de l'œil	HP:0012372#
Forme anormale de l'oeil	HP:0012372#
Physiologie anormale de l'œil	HP:0012373#
Physiologie de l'œil anormal	HP:0012373#
Morphologie anormale du globe terrestre	HP:0012374#
Anomalie du globe terrestre	HP:0012374#
Chémosis	HP:0012375#
Microphakie	HP:0012376#
Petit cristallin	HP:0012376#
Hémianopsie	HP:0012377#
Fatigue	HP:0012378#
Activité enzymatique/coenzyme anormale	HP:0012379#
Activité réduite de la carnitine O-palmitoyltransférase	HP:0012380#
Retard de l'auto-alimentation pendant la petite enfance	HP:0012381#
Shunt gauche-droit	HP:0012382#
Shunt bidirectionnel	HP:0012383#
Rhinite	HP:0012384#
Inflammation nasale	HP:0012384#
Camptodactylie	HP:0012385#
Absence d'hallux	HP:0012386#
Absence du gros orteil	HP:0012386#
Agénésie des hallux	HP:0012386#
Gros orteil manquant	HP:0012386#
Aplasie de l'hallux	HP:0012386#
Bronchite	HP:0012387#
Bronchite aiguë	HP:0012388#
Hypotonie appendiculaire	HP:0012389#
Fissure anale	HP:0012390#
Érosion anale	HP:0012390#
Hyporéflexie des membres supérieurs	HP:0012391#
Hyporéflexie de la mâchoire	HP:0012392#
Hyporéflexie mandibulaire	HP:0012392#
Allergie	HP:0012393#
Allergie au contraste iodé	HP:0012394#
Allergie saisonnière	HP:0012395#
Dyskinésie biliaire	HP:0012396#
Athérosclérose aortique	HP:0012397#
Accumulation de plaques dans l'artère aorte	HP:0012397#
Modifications athérosclérotiques de l'aorte	HP:0012397#
Athérosclérose de l'aorte	HP:0012397#
Œdème périphérique	HP:0012398#
Escarres	HP:0012399#
Ulcère de décubitus	HP:0012399#
Ulcère de pression	HP:0012399#
Escarre	HP:0012399#
Taux d'aldolase anormal	HP:0012400#
Anomalie de la concentration urinaire d'alpha-cétoglutarate	HP:0012401#
Anomalie de la concentration urinaire d'alpha cétoglutarate	HP:0012401#
Anomalie du taux de 2-oxoglutarate urinaire	HP:0012401#
Augmentation de la concentration urinaire en alpha-cétoglutarate	HP:0012402#
Augmentation du 2-oxoglutarate urinaire	HP:0012402#
Concentration urinaire accrue d'alpha-cétoglutarate	HP:0012402#
Diminution de la concentration urinaire d'alpha-cétoglutarate	HP:0012403#
Diminution de la concentration urinaire en 2-oxoglutarate	HP:0012403#
Concentration urinaire anormale de citrate	HP:0012404#
Concentration anormale de citrate dans l'urine	HP:0012404#
Hypocitraturie	HP:0012405#
Diminution de la concentration de citrate dans l'urine	HP:0012405#
Hypercitraturie	HP:0012406#
Augmentation de la concentration de citrate dans l'urine	HP:0012406#
Démarche en ciseaux	HP:0012407#
Marche en ciseaux	HP:0012407#
Néphrocalcinose médullaire	HP:0012408#
Néphrocalcinose corticale	HP:0012409#
Aplasie érythrocytaire pure	HP:0012410#
Aplasie des globules rouges	HP:0012410#
Pubarche prématurée	HP:0012411#
Développement prématuré des poils pubiens	HP:0012411#
Surrénarche prématurée	HP:0012412#
Incisive centrale primaire dentelée	HP:0012413#
Dents de Hutchinson-boeck	HP:0012413#
Dent primaire antérieure dentelée	HP:0012413#
Signe de Hutchinson	HP:0012413#
Dent de lait antérieure dentelée	HP:0012413#
Incisive d'Hutchinson	HP:0012413#
Dents de Hutchinson	HP:0012413#
Incisive primaire syphilitique	HP:0012413#
Atrophie duodénale	HP:0012414#
Taux de gaz sanguin anormal	HP:0012415#
Taux anormal de gaz du sang	HP:0012415#
Hypercapnie	HP:0012416#
Hypercarbie	HP:0012416#
Taux élevé de dioxyde de carbone dans le sang	HP:0012416#
Hypocapnie	HP:0012417#
Réduction du taux de dioxyde de carbone dans le sang	HP:0012417#
Hypocarbie	HP:0012417#
Hypoxémie	HP:0012418#
Faible taux d'oxygène dans le sang	HP:0012418#
Hyperoxémie	HP:0012419#
Liquide amniotique coloré au méconium	HP:0012420#
Coloration méconiale du liquide amniotique	HP:0012420#
Absence congénitale de prépuce	HP:0012421#
Absence de prépuce	HP:0012421#
Aposthie	HP:0012421#
Hypertrophie villositaire du plexus choroïde	HP:0012422#
Hypertrophie du plexus choroïde	HP:0012422#
Hypertrophie villositaire diffuse des plexus choroïdes	HP:0012422#
Inertie colique	HP:0012423#
Chorioretinite	HP:0012424#
Ulcère stercoral	HP:0012425#
Ulcère du côlon	HP:0012425#
Ulcère stercoral du côlon recto-sigmoïde	HP:0012425#
Drusen de la papille optique	HP:0012426#
Antéversion excessive du fémur	HP:0012427#
Calcanéum proéminent	HP:0012428#
Talonnette proéminente	HP:0012428#
Aplasie/hypoplasie de la substance blanche cérébrale	HP:0012429#
Absence ou sous-développement de la substance blanche cérébrale	HP:0012429#
Matière blanche cérébrale absente/petite	HP:0012429#
Hypoplasie de la substance blanche cérébrale	HP:0012430#
Pauvreté de la substance blanche cérébrale	HP:0012430#
Fatigue épisodique	HP:0012431#
Fatigue chronique	HP:0012432#
Épuisement chronique extrême	HP:0012432#
Comportement social anormal	HP:0012433#
Interactions sociales anormales	HP:0012433#
Retard de développement social	HP:0012434#
Retard du développement social	HP:0012434#
Raccourcissement ventral du prépuce	HP:0012435#
Athérosclérose non occlusive de l'artère coronaire	HP:0012436#
Maladie coronarienne non occlusive	HP:0012436#
Sténose non occlusive de l'artère coronaire	HP:0012436#
Morphologie anormale de la vésicule biliaire	HP:0012437#
Forme anormale de la vésicule biliaire	HP:0012437#
Physiologie anormale de la vésicule biliaire	HP:0012438#
Physiologie anormale des voies biliaires	HP:0012439#
Anomalie de la morphologie de la voie biliaire	HP:0012440#
Anomalie de la voie biliaire	HP:0012440#
Dyskinésie du sphincter d'Oddi	HP:0012441#
Dysfonctionnement du sphincter d'Oddi	HP:0012441#
Dyskinésie de la vésicule biliaire	HP:0012442#
Anomalie de la morphologie du cerveau	HP:0012443#
Forme anormale du cerveau	HP:0012443#
Anomalie du cerveau	HP:0012443#
Atrophie du cerveau	HP:0012444#
Émaciation du cerveau	HP:0012444#
Dégénérescence cérébrale	HP:0012444#
Faible taux de 5-méthyltétrahydrofolate dans le LCR	HP:0012446#
Carence en folates cérébraux	HP:0012446#
Myélinisation anormale	HP:0012447#
Retard de myélinisation	HP:0012448#
Synovite de l'articulation sacro-iliaque	HP:0012449#
Constipation chronique	HP:0012450#
Selles peu fréquentes	HP:0012450#
Constipation aiguë	HP:0012451#
Jambes sans repos	HP:0012452#
Syndrome des jambes sans repos	HP:0012452#
Maladie de Willis-Ekbom	HP:0012452#
Syndrome de Wittmaack-Ekbom	HP:0012452#
Contracture de flexion du poignet bilatéral	HP:0012453#
Contracture bilatérale du poignet	HP:0012453#
Contracture unilatérale de flexion du poignet	HP:0012454#
Contracture unilatérale du poignet	HP:0012454#
obsolète Calcification de la grande artère	HP:0012455#
Calcification artérielle médiane	HP:0012456#
Calcification médiale des artères de taille moyenne	HP:0012457#
Calcification médiane des petites artères	HP:0012458#
Céphalée hypnique	HP:0012459#
Céphalée du réveil	HP:0012459#
Vermis cérébelleux inférieur dysmorphique	HP:0012460#
Bactériurie	HP:0012461#
Bactéries dans l'urine	HP:0012461#
Taux élevé de bactéries dans l'urine	HP:0012461#
Myoclonie du menton	HP:0012462#
Géniospasme	HP:0012462#
Spasmes du menton	HP:0012462#
Saturation élevée de la transferrine	HP:0012463#
Saturation de la transferrine diminuée	HP:0012464#
Concentration hépatique en fer élevée	HP:0012465#
Augmentation de la concentration en fer du foie	HP:0012465#
Augmentation de la concentration en fer dans le foie	HP:0012465#
Acidose respiratoire chronique	HP:0012466#
Acidose respiratoire aiguë	HP:0012467#
Acidose chronique	HP:0012468#
Spasmes infantiles	HP:0012469#
Phénomène de l'œil du soleil couchant	HP:0012470#
Phénomène des yeux du soleil couchant	HP:0012470#
Yeux du soleil couchant	HP:0012470#
Yeux fixés vers le bas	HP:0012470#
Œil au coucher du soleil	HP:0012470#
Bordure vermillon épaisse	HP:0012471#
Lèvres pleines	HP:0012471#
Lèvres pulpeuses	HP:0012471#
Lèvres épaisses	HP:0012471#
Lèvres proéminentes	HP:0012471#
Augmentation du volume du vermillon des lèvres	HP:0012471#
Augmentation du volume des lèvres	HP:0012471#
Éclaboussure	HP:0012472#
Lèvres tournées vers l'extérieur	HP:0012472#
Eclabium	HP:0012472#
Lèvres retroussées	HP:0012472#
Atrophie de la langue	HP:0012473#
Atrophie linguale	HP:0012473#
Dépérissement de la langue	HP:0012473#
Occlusion de l'artère carotide	HP:0012474#
Obstruction de l'artère carotide	HP:0012474#
Déficit en anticorps spécifiques	HP:0012475#
Déficit en anticorps spécifiques anti-pneumococciques	HP:0012476#
Tremblement vocal	HP:0012477#
Voix tremblante	HP:0012477#
Ankylose de l'articulation temporomandibulaire	HP:0012478#
Gel de l'articulation temporomandibulaire	HP:0012478#
Rigidité de l'articulation temporomandibulaire	HP:0012478#
Gel de l'articulation de la mâchoire	HP:0012478#
Adhésion de l'articulation temporomandibulaire	HP:0012478#
Fusion de l'articulation temporomandibulaire	HP:0012478#
Crépitation de l'articulation temporomandibulaire	HP:0012479#
Grincement de l'articulation temporomandibulaire	HP:0012479#
Claquement de l'articulation temporomandibulaire	HP:0012479#
Bruit de l'articulation temporomandibulaire	HP:0012479#
Crépitation de l'articulation de la mâchoire	HP:0012479#
Claquement de l'articulation de la mâchoire	HP:0012479#
Bruit de l'articulation de la mâchoire	HP:0012479#
Bruits de l'articulation de la mâchoire	HP:0012479#
Bruit de l'articulation temporo-mandibulaire	HP:0012479#
Bruits de l'articulation temporo-mandibulaire	HP:0012479#
Anomalie des veines cérébrales	HP:0012480#
Angiome veineux cérébral	HP:0012481#
Anomalie veineuse du développement	HP:0012481#
Angiome veineux frontal	HP:0012482#
Granules alpha anormaux	HP:0012483#
Granules denses anormaux	HP:0012484#
Système canaliculaire ouvert anormal relié à la surface	HP:0012485#
Myélite	HP:0012486#
Inflammation de la moelle épinière	HP:0012486#
Kyste arachnoïdien de l'angle ponto-cérébelleux	HP:0012487#
Kyste arachnoïdien intraventriculaire	HP:0012488#
Kyste arachnoïdien suprasellaire	HP:0012489#
Panniculite	HP:0012490#
Inflammation du tissu adipeux	HP:0012490#
Système tubulaire dense anormal	HP:0012491#
Sténose de l'artère cérébrale	HP:0012492#
Rétrécissement d'une artère cérébrale	HP:0012492#
Sténose de l'artère cérébrale moyenne	HP:0012493#
Sténose de l'artère cérébrale antérieure	HP:0012494#
Sténose de l'artère cérébrale postérieure	HP:0012495#
Réduction de la pression inspiratoire maximale	HP:0012496#
Réduction de la pression expiratoire maximale	HP:0012497#
Cordon nucal	HP:0012498#
Dissection aortique descendante	HP:0012499#
Dissection aortique de type B	HP:0012499#
Papule verruqueuse	HP:0012500#
Papule papillomateuse	HP:0012500#
Anomalie de la substance blanche du tronc cérébral	HP:0012501#
Anomalie de la capsule interne	HP:0012502#
Anomalie de l'hypophyse	HP:0012503#
anomalie de l'hypophyse	HP:0012503#
Taille anormale de l'hypophyse	HP:0012504#
Hypertrophie de l'hypophyse	HP:0012505#
Petite hypophyse	HP:0012506#
Faiblesse du muscle orbicularis oculi	HP:0012507#
Métamorphopsie	HP:0012508#
Réduction de la globuline liant la thyroxine	HP:0012509#
Accumulation extra-axiale de liquide céphalo-rachidien	HP:0012510#
Pâleur temporelle de la papille optique	HP:0012511#
Pâleur diffuse de la papille optique	HP:0012512#
Douleur du membre supérieur	HP:0012513#
Douleur du membre inférieur	HP:0012514#
Faiblesse des fléchisseurs de la hanche	HP:0012515#
Tétralogie de Fallot avec atrésie pulmonaire	HP:0012516#
Activité réduite de la catalase	HP:0012517#
Anomalie de la morphologie du cercle de Willis	HP:0012518#
Anomalie du cercle artériel cérébral	HP:0012518#
Artère communicante postérieure hypoplasique	HP:0012519#
Artères communicantes postérieures hypoplasiques	HP:0012519#
Espaces périvasculaires	HP:0012520#
Espaces dilatés de Virchow-Robin	HP:0012520#
Espaces périvasculaires cérébraux dilatés	HP:0012520#
Dilatation des espaces de Virchow-Robin	HP:0012520#
Aplasie du nerf optique	HP:0012521#
Nerf optique absent	HP:0012521#
Nerf optique aplasique	HP:0012521#
Hémangiome arachnéen	HP:0012522#
Aversion orale	HP:0012523#
Forme anormale des plaquettes	HP:0012524#
Distribution anormale des granules alpha	HP:0012525#
Absence de granules alpha	HP:0012526#
Plaquettes grises	HP:0012526#
Contenu anormal de granules alpha	HP:0012527#
Nombre anormal de granules alpha	HP:0012528#
Contenu anormal en granules denses	HP:0012529#
Nombre anormal de granules denses	HP:0012530#
Douleur	HP:0012531#
Douleur chronique	HP:0012532#
Douleur persistante	HP:0012532#
Allodynie	HP:0012533#
Dysesthésie	HP:0012534#
Dysesthésies	HP:0012534#
Anomalie de la transmission synaptique	HP:0012535#
Anomalie du métabolisme des neurotransmetteurs	HP:0012535#
Anticorps anticardiolipine maternels positifs	HP:0012536#
Intolérance alimentaire	HP:0012537#
Hypersensibilité alimentaire non allergique	HP:0012537#
Intolérance au gluten	HP:0012538#
Sensibilité au gluten	HP:0012538#
Lymphome non hodgkinien	HP:0012539#
Kyste épidermoïde axillaire	HP:0012540#
Kyste de l'aisselle	HP:0012540#
Céphalhématome	HP:0012541#
Céphalohématome	HP:0012541#
Onychauxis	HP:0012542#
Hémosidérinurie	HP:0012543#
Taux d'aldolase élevé	HP:0012544#
Niveau réduit d'aldolase	HP:0012545#
Inactivation du X maternel oblique	HP:0012546#
Mouvements oculaires involontaires anormaux	HP:0012547#
Remplacement des graisses dans les muscles squelettiques	HP:0012548#
Infiltration graisseuse du muscle squelettique	HP:0012548#
Lipome conjonctival	HP:0012549#
Varices coliques	HP:0012550#
Absence de granules spécifiques des neutrophiles	HP:0012551#
Augmentation des projections nucléaires des neutrophiles	HP:0012552#
Ongle de pouce hypoplasique	HP:0012553#
Petite ongle du pouce	HP:0012553#
Ongle de pouce sous-développé	HP:0012553#
Ongle du pouce absent	HP:0012554#
Absence de l'ongle de l'hallux	HP:0012555#
Ongle du gros orteil absent	HP:0012555#
Absence de l'ongle du gros orteil	HP:0012555#
Hyperbêta-alaninémie	HP:0012556#
Taux élevé de bêta-alanine dans le sang	HP:0012556#
EEG avec ondes à pointes focales centrotemporales	HP:0012557#
Rapport T3/T4 anormal	HP:0012558#
Rapport T3/T4 augmenté	HP:0012559#
Diminution du rapport T3/T4	HP:0012560#
Valve aortique unicuspide	HP:0012561#
Fusion épimétaphysaire prématurée de la main	HP:0012562#
Fusion épimétaphysaire prématurée du pied	HP:0012563#
Fusion épimétaphysaire prématurée du tibia	HP:0012564#
Fusion épimétaphysaire prématurée du péroné	HP:0012565#
Fusion épimétaphysaire prématurée du radius	HP:0012566#
Fusion épimétaphysaire prématurée du cubitus	HP:0012567#
Œdème de la paupière inférieure	HP:0012568#
Cellulite de la paupière inférieure	HP:0012568#
Plénitude de la paupière inférieure	HP:0012568#
Gonflement de la paupière inférieure	HP:0012568#
Retard de la ménarche	HP:0012569#
Retard de l'apparition des premières règles	HP:0012569#
Sarcome synovial	HP:0012570#
Synoviome malin	HP:0012570#
Uretère fissus	HP:0012571#
Uretère partiellement dédoublé	HP:0012571#
Duplex de l'uretère	HP:0012572#
Tubulopathie proximale globale	HP:0012573#
Hypercellularité mésangiale	HP:0012574#
Prolifération mésangiale	HP:0012574#
Anomalie du néphron	HP:0012575#
Dépôt glomérulaire de C3	HP:0012576#
Néphropathie à C3	HP:0012576#
Dépôt rénal de C3	HP:0012576#
Membrane basale glomérulaire mince	HP:0012577#
Néphropathie membraneuse	HP:0012578#
Glomérulonéphrite membraneuse	HP:0012578#
Glomérulonéphrite à changement minime	HP:0012579#
Néphropathie à évolution minime	HP:0012579#
Maladie à changement minime	HP:0012579#
Néphrolithiase au phosphate de calcium	HP:0012580#
